"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to verify response when updating a booking with an invalid token.","641","Test Negative Update Booking","","Tue Jul 23 22:23:50 AMT 2024","passed","Tue Jul 23 22:23:50 AMT 2024","","Update Booking Suite","",""
"This test checks if the health endpoint is reachable and returns the expected status code.","774","Health Check Test","","Tue Jul 23 22:23:46 AMT 2024","passed","Tue Jul 23 22:23:47 AMT 2024","","Ping Tests","",""
"Test to verify response when partially updating a booking with an invalid token.","645","Test Negative Partial Update Booking with Invalid Token","","Tue Jul 23 22:23:51 AMT 2024","passed","Tue Jul 23 22:23:52 AMT 2024","","Partial Update Booking Suite","",""
"Test to update a booking and verify the response.","637","Test Update Booking","","Tue Jul 23 22:23:49 AMT 2024","passed","Tue Jul 23 22:23:50 AMT 2024","","Update Booking Suite","",""
"Test to partially update a booking and verify the response.","650","Test Partial Update Booking","","Tue Jul 23 22:23:50 AMT 2024","passed","Tue Jul 23 22:23:51 AMT 2024","","Partial Update Booking Suite","",""
"Test to verify response when partially updating a booking without a token.","630","Test Negative Partial Update Booking without Token","","Tue Jul 23 22:23:52 AMT 2024","passed","Tue Jul 23 22:23:52 AMT 2024","","Partial Update Booking Suite","",""
"Test to create authentication token for booking API.","598","Test Booking Token Creation","","Tue Jul 23 22:23:47 AMT 2024","passed","Tue Jul 23 22:23:47 AMT 2024","","Create Token Booking Suite","",""
"Test to delete a booking by ID and verify the response.","695","Test Delete Booking by ID","","Tue Jul 23 22:23:52 AMT 2024","passed","Tue Jul 23 22:23:53 AMT 2024","","Delete Booking Suite","",""
"This test retrieves a booking by ID and checks the response status and content.","637","Test Getting Booking By ID","","Tue Jul 23 22:23:49 AMT 2024","passed","Tue Jul 23 22:23:49 AMT 2024","","GET Booking Suite","",""
"Test to create a booking and verify the response.","605","Test Create Booking","","Tue Jul 23 22:23:47 AMT 2024","passed","Tue Jul 23 22:23:48 AMT 2024","","Create Booking Suite","",""
"This test retrieves all bookings and checks the response status and content.","612","Test Getting All Bookings","","Tue Jul 23 22:23:48 AMT 2024","passed","Tue Jul 23 22:23:48 AMT 2024","","Get Booking Suite","",""
